"action","source_path","output_path","archive_path","note_type","status","sha256","details"
"convert-chat-thread","00 ZETTELKASTEN\INBOX\aichatbackup-2026-05-23 (1).json","00 ZETTELKASTEN\10 CHAT ARCHIVE\chat.archive.internet.abyss.and.programming.6362ece5.md","","reference","generated","048579E63CC2812400E109CEE18A35EDEBEF0789773E8FC528BB7919AF54ABE7; 0A5FF8FEC6282991C7E56791764AD04181CDB688A4E86507757423706B6300D3; 0AFCBEAC0C6571F9FE6D70FA88334F13E2FB8A19DD72DDDF4DE600AA2296B495; 23EBC0A6FA5838618512C0C6560CC17C0E2D5EA50BEF16CB32B702D7E8EB60E1; 34502ED3E5D360FBFBD1262DBA8C430B3D6C01FA22DB9B5D34FBA9A945FDA15D; 34B2B6779038E7AB432AB1C879E0E9C8366E03828FC8293C9211AAEDF3D2C140; 3CFF2CBD3DEDB404F1A89A04DB19A31CAB99867D0D2160C5A116545C8D4E8A3B; 48BD6C1A993666881ACA74E0A76B90AF962B6A4A95FB296631DB722F8CB01902; 4C8BFCEB008D24EB01074C38330AB46796426B91938CA804D4B8B11211648716; 62376A5F57D3A43C2DA9747586E650999C32D753B9E165FA755B3DEA1AF9FE8E; 63D21C555730625A1B333273C916623B1EE84126763A41FC3BB9893E9D5AB425; 6B823DCDFC5159853FC8CA069FD0FACFF6E8DDB7ACE93D1E7BB6FAD9D07C548B; 95CDD57710F88D2545ADC2FDA3050668914129A5A6C2FB7AB399485DF37234F2; 9D1320D5B2DA2CAC0A7AAD9AD1CE33786F6272332C4802F392876669F68025C8; A3D1143FBB47F7F66054E5B83120D1B2CB416BF148A78D54CCB20DC375D768B2; A5293EFA7EAC336454537411469405609F8F268910B8E67E3C7D309A0AB5A12F; AAEA8A2C1D014415B6A477FED8E06A761AFFB75FB9AE26814AEA49961273B0BE; ADD281AC7AF7F81605EBE1AE9EF52E37483E926F392545680359AA2C4920A8CB; BDBB58D5FF200C305506C127789A5416077E9A4847AA5A1E8BEC01D00F68C17B; BEAF74FEAD97D3DE2B105B5B3973C2C3967C84CB34D328BA3183DFA8F944E25F; C41B57D14CE7DF2E4E401C87AEA0F56944925D8E7385C9ACB0CF752E70AB02A7; C6D0A8E3348101A9C424AE8A0524FB65E267BF7B03BF490E7E54A96545FBA746; C9AF86678E790FBFF64B74B34AE6300A8FB02532E2C83A8A934311346714744F; DB755B49E31CF9F15B050661086173BF632CC20E614B8B44A518514B798FF26C; DCB0CD13B9A2193518FA34AA302F3290D114C07626FF72211187F6C8A24FB7D0; E31840A2DB76732FC778FD41DFFAD31B87295AE7906B15F6C5FD218D4E0C29DD; E6D5877819688BC301CE25DF6236864990A5FB6F05C4055C11428E267406A1BC","thread_id=6362ece5-f23b-4781-a588-188dc23758ef"
"convert-chat-thread","00 ZETTELKASTEN\INBOX\aichatbackup-2026-05-23 (1).json","00 ZETTELKASTEN\10 CHAT ARCHIVE\chat.archive.late.night.surveillance.thoughts.63e39357.md","","reference","generated","048579E63CC2812400E109CEE18A35EDEBEF0789773E8FC528BB7919AF54ABE7; 0A5FF8FEC6282991C7E56791764AD04181CDB688A4E86507757423706B6300D3; 0AFCBEAC0C6571F9FE6D70FA88334F13E2FB8A19DD72DDDF4DE600AA2296B495; 23EBC0A6FA5838618512C0C6560CC17C0E2D5EA50BEF16CB32B702D7E8EB60E1; 34502ED3E5D360FBFBD1262DBA8C430B3D6C01FA22DB9B5D34FBA9A945FDA15D; 34B2B6779038E7AB432AB1C879E0E9C8366E03828FC8293C9211AAEDF3D2C140; 3CFF2CBD3DEDB404F1A89A04DB19A31CAB99867D0D2160C5A116545C8D4E8A3B; 48BD6C1A993666881ACA74E0A76B90AF962B6A4A95FB296631DB722F8CB01902; 4C8BFCEB008D24EB01074C38330AB46796426B91938CA804D4B8B11211648716; 62376A5F57D3A43C2DA9747586E650999C32D753B9E165FA755B3DEA1AF9FE8E; 63D21C555730625A1B333273C916623B1EE84126763A41FC3BB9893E9D5AB425; 6B823DCDFC5159853FC8CA069FD0FACFF6E8DDB7ACE93D1E7BB6FAD9D07C548B; 95CDD57710F88D2545ADC2FDA3050668914129A5A6C2FB7AB399485DF37234F2; 9D1320D5B2DA2CAC0A7AAD9AD1CE33786F6272332C4802F392876669F68025C8; A3D1143FBB47F7F66054E5B83120D1B2CB416BF148A78D54CCB20DC375D768B2; A5293EFA7EAC336454537411469405609F8F268910B8E67E3C7D309A0AB5A12F; AAEA8A2C1D014415B6A477FED8E06A761AFFB75FB9AE26814AEA49961273B0BE; ADD281AC7AF7F81605EBE1AE9EF52E37483E926F392545680359AA2C4920A8CB; BDBB58D5FF200C305506C127789A5416077E9A4847AA5A1E8BEC01D00F68C17B; BEAF74FEAD97D3DE2B105B5B3973C2C3967C84CB34D328BA3183DFA8F944E25F; C41B57D14CE7DF2E4E401C87AEA0F56944925D8E7385C9ACB0CF752E70AB02A7; C6D0A8E3348101A9C424AE8A0524FB65E267BF7B03BF490E7E54A96545FBA746; C9AF86678E790FBFF64B74B34AE6300A8FB02532E2C83A8A934311346714744F; DB755B49E31CF9F15B050661086173BF632CC20E614B8B44A518514B798FF26C; DCB0CD13B9A2193518FA34AA302F3290D114C07626FF72211187F6C8A24FB7D0; E31840A2DB76732FC778FD41DFFAD31B87295AE7906B15F6C5FD218D4E0C29DD; E6D5877819688BC301CE25DF6236864990A5FB6F05C4055C11428E267406A1BC","thread_id=63e39357-dfce-4e2d-aabc-a68a9253f932"
"convert-chat-thread","00 ZETTELKASTEN\INBOX\aichatbackup-2026-05-23 (1).json","00 ZETTELKASTEN\10 CHAT ARCHIVE\chat.archive.codex.sandbox.update.issue.649c2c91.md","","reference","generated","048579E63CC2812400E109CEE18A35EDEBEF0789773E8FC528BB7919AF54ABE7; 0A5FF8FEC6282991C7E56791764AD04181CDB688A4E86507757423706B6300D3; 0AFCBEAC0C6571F9FE6D70FA88334F13E2FB8A19DD72DDDF4DE600AA2296B495; 23EBC0A6FA5838618512C0C6560CC17C0E2D5EA50BEF16CB32B702D7E8EB60E1; 34502ED3E5D360FBFBD1262DBA8C430B3D6C01FA22DB9B5D34FBA9A945FDA15D; 34B2B6779038E7AB432AB1C879E0E9C8366E03828FC8293C9211AAEDF3D2C140; 3CFF2CBD3DEDB404F1A89A04DB19A31CAB99867D0D2160C5A116545C8D4E8A3B; 48BD6C1A993666881ACA74E0A76B90AF962B6A4A95FB296631DB722F8CB01902; 4C8BFCEB008D24EB01074C38330AB46796426B91938CA804D4B8B11211648716; 62376A5F57D3A43C2DA9747586E650999C32D753B9E165FA755B3DEA1AF9FE8E; 63D21C555730625A1B333273C916623B1EE84126763A41FC3BB9893E9D5AB425; 6B823DCDFC5159853FC8CA069FD0FACFF6E8DDB7ACE93D1E7BB6FAD9D07C548B; 95CDD57710F88D2545ADC2FDA3050668914129A5A6C2FB7AB399485DF37234F2; 9D1320D5B2DA2CAC0A7AAD9AD1CE33786F6272332C4802F392876669F68025C8; A3D1143FBB47F7F66054E5B83120D1B2CB416BF148A78D54CCB20DC375D768B2; A5293EFA7EAC336454537411469405609F8F268910B8E67E3C7D309A0AB5A12F; AAEA8A2C1D014415B6A477FED8E06A761AFFB75FB9AE26814AEA49961273B0BE; ADD281AC7AF7F81605EBE1AE9EF52E37483E926F392545680359AA2C4920A8CB; BDBB58D5FF200C305506C127789A5416077E9A4847AA5A1E8BEC01D00F68C17B; BEAF74FEAD97D3DE2B105B5B3973C2C3967C84CB34D328BA3183DFA8F944E25F; C41B57D14CE7DF2E4E401C87AEA0F56944925D8E7385C9ACB0CF752E70AB02A7; C6D0A8E3348101A9C424AE8A0524FB65E267BF7B03BF490E7E54A96545FBA746; C9AF86678E790FBFF64B74B34AE6300A8FB02532E2C83A8A934311346714744F; DB755B49E31CF9F15B050661086173BF632CC20E614B8B44A518514B798FF26C; DCB0CD13B9A2193518FA34AA302F3290D114C07626FF72211187F6C8A24FB7D0; E31840A2DB76732FC778FD41DFFAD31B87295AE7906B15F6C5FD218D4E0C29DD; E6D5877819688BC301CE25DF6236864990A5FB6F05C4055C11428E267406A1BC","thread_id=649c2c91-34e1-44de-b52a-7a2e5614af84"
"convert-chat-thread","00 ZETTELKASTEN\INBOX\aichatbackup-2026-05-23 (1).json","00 ZETTELKASTEN\10 CHAT ARCHIVE\chat.archive.project.file.list.6e874caa.md","","reference","generated","048579E63CC2812400E109CEE18A35EDEBEF0789773E8FC528BB7919AF54ABE7; 0A5FF8FEC6282991C7E56791764AD04181CDB688A4E86507757423706B6300D3; 0AFCBEAC0C6571F9FE6D70FA88334F13E2FB8A19DD72DDDF4DE600AA2296B495; 23EBC0A6FA5838618512C0C6560CC17C0E2D5EA50BEF16CB32B702D7E8EB60E1; 34502ED3E5D360FBFBD1262DBA8C430B3D6C01FA22DB9B5D34FBA9A945FDA15D; 34B2B6779038E7AB432AB1C879E0E9C8366E03828FC8293C9211AAEDF3D2C140; 3CFF2CBD3DEDB404F1A89A04DB19A31CAB99867D0D2160C5A116545C8D4E8A3B; 48BD6C1A993666881ACA74E0A76B90AF962B6A4A95FB296631DB722F8CB01902; 4C8BFCEB008D24EB01074C38330AB46796426B91938CA804D4B8B11211648716; 62376A5F57D3A43C2DA9747586E650999C32D753B9E165FA755B3DEA1AF9FE8E; 63D21C555730625A1B333273C916623B1EE84126763A41FC3BB9893E9D5AB425; 6B823DCDFC5159853FC8CA069FD0FACFF6E8DDB7ACE93D1E7BB6FAD9D07C548B; 95CDD57710F88D2545ADC2FDA3050668914129A5A6C2FB7AB399485DF37234F2; 9D1320D5B2DA2CAC0A7AAD9AD1CE33786F6272332C4802F392876669F68025C8; A3D1143FBB47F7F66054E5B83120D1B2CB416BF148A78D54CCB20DC375D768B2; A5293EFA7EAC336454537411469405609F8F268910B8E67E3C7D309A0AB5A12F; AAEA8A2C1D014415B6A477FED8E06A761AFFB75FB9AE26814AEA49961273B0BE; ADD281AC7AF7F81605EBE1AE9EF52E37483E926F392545680359AA2C4920A8CB; BDBB58D5FF200C305506C127789A5416077E9A4847AA5A1E8BEC01D00F68C17B; BEAF74FEAD97D3DE2B105B5B3973C2C3967C84CB34D328BA3183DFA8F944E25F; C41B57D14CE7DF2E4E401C87AEA0F56944925D8E7385C9ACB0CF752E70AB02A7; C6D0A8E3348101A9C424AE8A0524FB65E267BF7B03BF490E7E54A96545FBA746; C9AF86678E790FBFF64B74B34AE6300A8FB02532E2C83A8A934311346714744F; DB755B49E31CF9F15B050661086173BF632CC20E614B8B44A518514B798FF26C; DCB0CD13B9A2193518FA34AA302F3290D114C07626FF72211187F6C8A24FB7D0; E31840A2DB76732FC778FD41DFFAD31B87295AE7906B15F6C5FD218D4E0C29DD; E6D5877819688BC301CE25DF6236864990A5FB6F05C4055C11428E267406A1BC","thread_id=6e874caa-2499-445f-84eb-a1cd65279614"
"convert-chat-thread","00 ZETTELKASTEN\INBOX\aichatbackup-2026-05-23 (1).json","00 ZETTELKASTEN\10 CHAT ARCHIVE\chat.archive.court.gesture.pipeline.72a39823.md","","reference","generated","048579E63CC2812400E109CEE18A35EDEBEF0789773E8FC528BB7919AF54ABE7; 0A5FF8FEC6282991C7E56791764AD04181CDB688A4E86507757423706B6300D3; 0AFCBEAC0C6571F9FE6D70FA88334F13E2FB8A19DD72DDDF4DE600AA2296B495; 23EBC0A6FA5838618512C0C6560CC17C0E2D5EA50BEF16CB32B702D7E8EB60E1; 34502ED3E5D360FBFBD1262DBA8C430B3D6C01FA22DB9B5D34FBA9A945FDA15D; 34B2B6779038E7AB432AB1C879E0E9C8366E03828FC8293C9211AAEDF3D2C140; 3CFF2CBD3DEDB404F1A89A04DB19A31CAB99867D0D2160C5A116545C8D4E8A3B; 48BD6C1A993666881ACA74E0A76B90AF962B6A4A95FB296631DB722F8CB01902; 4C8BFCEB008D24EB01074C38330AB46796426B91938CA804D4B8B11211648716; 62376A5F57D3A43C2DA9747586E650999C32D753B9E165FA755B3DEA1AF9FE8E; 63D21C555730625A1B333273C916623B1EE84126763A41FC3BB9893E9D5AB425; 6B823DCDFC5159853FC8CA069FD0FACFF6E8DDB7ACE93D1E7BB6FAD9D07C548B; 95CDD57710F88D2545ADC2FDA3050668914129A5A6C2FB7AB399485DF37234F2; 9D1320D5B2DA2CAC0A7AAD9AD1CE33786F6272332C4802F392876669F68025C8; A3D1143FBB47F7F66054E5B83120D1B2CB416BF148A78D54CCB20DC375D768B2; A5293EFA7EAC336454537411469405609F8F268910B8E67E3C7D309A0AB5A12F; AAEA8A2C1D014415B6A477FED8E06A761AFFB75FB9AE26814AEA49961273B0BE; ADD281AC7AF7F81605EBE1AE9EF52E37483E926F392545680359AA2C4920A8CB; BDBB58D5FF200C305506C127789A5416077E9A4847AA5A1E8BEC01D00F68C17B; BEAF74FEAD97D3DE2B105B5B3973C2C3967C84CB34D328BA3183DFA8F944E25F; C41B57D14CE7DF2E4E401C87AEA0F56944925D8E7385C9ACB0CF752E70AB02A7; C6D0A8E3348101A9C424AE8A0524FB65E267BF7B03BF490E7E54A96545FBA746; C9AF86678E790FBFF64B74B34AE6300A8FB02532E2C83A8A934311346714744F; DB755B49E31CF9F15B050661086173BF632CC20E614B8B44A518514B798FF26C; DCB0CD13B9A2193518FA34AA302F3290D114C07626FF72211187F6C8A24FB7D0; E31840A2DB76732FC778FD41DFFAD31B87295AE7906B15F6C5FD218D4E0C29DD; E6D5877819688BC301CE25DF6236864990A5FB6F05C4055C11428E267406A1BC","thread_id=72a39823-96fd-4ed1-8c33-328b9c90fbbf"
"convert-chat-thread","00 ZETTELKASTEN\INBOX\aichatbackup-2026-05-23 (1).json","00 ZETTELKASTEN\10 CHAT ARCHIVE\chat.archive.almost.making.it.74d04ce3.md","","reference","generated","048579E63CC2812400E109CEE18A35EDEBEF0789773E8FC528BB7919AF54ABE7; 0A5FF8FEC6282991C7E56791764AD04181CDB688A4E86507757423706B6300D3; 0AFCBEAC0C6571F9FE6D70FA88334F13E2FB8A19DD72DDDF4DE600AA2296B495; 23EBC0A6FA5838618512C0C6560CC17C0E2D5EA50BEF16CB32B702D7E8EB60E1; 34502ED3E5D360FBFBD1262DBA8C430B3D6C01FA22DB9B5D34FBA9A945FDA15D; 34B2B6779038E7AB432AB1C879E0E9C8366E03828FC8293C9211AAEDF3D2C140; 3CFF2CBD3DEDB404F1A89A04DB19A31CAB99867D0D2160C5A116545C8D4E8A3B; 48BD6C1A993666881ACA74E0A76B90AF962B6A4A95FB296631DB722F8CB01902; 4C8BFCEB008D24EB01074C38330AB46796426B91938CA804D4B8B11211648716; 62376A5F57D3A43C2DA9747586E650999C32D753B9E165FA755B3DEA1AF9FE8E; 63D21C555730625A1B333273C916623B1EE84126763A41FC3BB9893E9D5AB425; 6B823DCDFC5159853FC8CA069FD0FACFF6E8DDB7ACE93D1E7BB6FAD9D07C548B; 95CDD57710F88D2545ADC2FDA3050668914129A5A6C2FB7AB399485DF37234F2; 9D1320D5B2DA2CAC0A7AAD9AD1CE33786F6272332C4802F392876669F68025C8; A3D1143FBB47F7F66054E5B83120D1B2CB416BF148A78D54CCB20DC375D768B2; A5293EFA7EAC336454537411469405609F8F268910B8E67E3C7D309A0AB5A12F; AAEA8A2C1D014415B6A477FED8E06A761AFFB75FB9AE26814AEA49961273B0BE; ADD281AC7AF7F81605EBE1AE9EF52E37483E926F392545680359AA2C4920A8CB; BDBB58D5FF200C305506C127789A5416077E9A4847AA5A1E8BEC01D00F68C17B; BEAF74FEAD97D3DE2B105B5B3973C2C3967C84CB34D328BA3183DFA8F944E25F; C41B57D14CE7DF2E4E401C87AEA0F56944925D8E7385C9ACB0CF752E70AB02A7; C6D0A8E3348101A9C424AE8A0524FB65E267BF7B03BF490E7E54A96545FBA746; C9AF86678E790FBFF64B74B34AE6300A8FB02532E2C83A8A934311346714744F; DB755B49E31CF9F15B050661086173BF632CC20E614B8B44A518514B798FF26C; DCB0CD13B9A2193518FA34AA302F3290D114C07626FF72211187F6C8A24FB7D0; E31840A2DB76732FC778FD41DFFAD31B87295AE7906B15F6C5FD218D4E0C29DD; E6D5877819688BC301CE25DF6236864990A5FB6F05C4055C11428E267406A1BC","thread_id=74d04ce3-de26-48d7-b333-d558e26a451a"
"convert-chat-thread","00 ZETTELKASTEN\INBOX\aichatbackup-2026-05-23 (1).json","00 ZETTELKASTEN\10 CHAT ARCHIVE\chat.archive.motions.in.court.explained.7cd80d14.md","","reference","generated","048579E63CC2812400E109CEE18A35EDEBEF0789773E8FC528BB7919AF54ABE7; 0A5FF8FEC6282991C7E56791764AD04181CDB688A4E86507757423706B6300D3; 0AFCBEAC0C6571F9FE6D70FA88334F13E2FB8A19DD72DDDF4DE600AA2296B495; 23EBC0A6FA5838618512C0C6560CC17C0E2D5EA50BEF16CB32B702D7E8EB60E1; 34502ED3E5D360FBFBD1262DBA8C430B3D6C01FA22DB9B5D34FBA9A945FDA15D; 34B2B6779038E7AB432AB1C879E0E9C8366E03828FC8293C9211AAEDF3D2C140; 3CFF2CBD3DEDB404F1A89A04DB19A31CAB99867D0D2160C5A116545C8D4E8A3B; 48BD6C1A993666881ACA74E0A76B90AF962B6A4A95FB296631DB722F8CB01902; 4C8BFCEB008D24EB01074C38330AB46796426B91938CA804D4B8B11211648716; 62376A5F57D3A43C2DA9747586E650999C32D753B9E165FA755B3DEA1AF9FE8E; 63D21C555730625A1B333273C916623B1EE84126763A41FC3BB9893E9D5AB425; 6B823DCDFC5159853FC8CA069FD0FACFF6E8DDB7ACE93D1E7BB6FAD9D07C548B; 95CDD57710F88D2545ADC2FDA3050668914129A5A6C2FB7AB399485DF37234F2; 9D1320D5B2DA2CAC0A7AAD9AD1CE33786F6272332C4802F392876669F68025C8; A3D1143FBB47F7F66054E5B83120D1B2CB416BF148A78D54CCB20DC375D768B2; A5293EFA7EAC336454537411469405609F8F268910B8E67E3C7D309A0AB5A12F; AAEA8A2C1D014415B6A477FED8E06A761AFFB75FB9AE26814AEA49961273B0BE; ADD281AC7AF7F81605EBE1AE9EF52E37483E926F392545680359AA2C4920A8CB; BDBB58D5FF200C305506C127789A5416077E9A4847AA5A1E8BEC01D00F68C17B; BEAF74FEAD97D3DE2B105B5B3973C2C3967C84CB34D328BA3183DFA8F944E25F; C41B57D14CE7DF2E4E401C87AEA0F56944925D8E7385C9ACB0CF752E70AB02A7; C6D0A8E3348101A9C424AE8A0524FB65E267BF7B03BF490E7E54A96545FBA746; C9AF86678E790FBFF64B74B34AE6300A8FB02532E2C83A8A934311346714744F; DB755B49E31CF9F15B050661086173BF632CC20E614B8B44A518514B798FF26C; DCB0CD13B9A2193518FA34AA302F3290D114C07626FF72211187F6C8A24FB7D0; E31840A2DB76732FC778FD41DFFAD31B87295AE7906B15F6C5FD218D4E0C29DD; E6D5877819688BC301CE25DF6236864990A5FB6F05C4055C11428E267406A1BC","thread_id=7cd80d14-e0b0-471c-bc5c-759d8f1dfee9"
"convert-chat-thread","00 ZETTELKASTEN\INBOX\aichatbackup-2026-05-23 (1).json","00 ZETTELKASTEN\10 CHAT ARCHIVE\chat.archive.frustration.with.algorithm.failures.927ba474.md","","reference","generated","048579E63CC2812400E109CEE18A35EDEBEF0789773E8FC528BB7919AF54ABE7; 0A5FF8FEC6282991C7E56791764AD04181CDB688A4E86507757423706B6300D3; 0AFCBEAC0C6571F9FE6D70FA88334F13E2FB8A19DD72DDDF4DE600AA2296B495; 23EBC0A6FA5838618512C0C6560CC17C0E2D5EA50BEF16CB32B702D7E8EB60E1; 34502ED3E5D360FBFBD1262DBA8C430B3D6C01FA22DB9B5D34FBA9A945FDA15D; 34B2B6779038E7AB432AB1C879E0E9C8366E03828FC8293C9211AAEDF3D2C140; 3CFF2CBD3DEDB404F1A89A04DB19A31CAB99867D0D2160C5A116545C8D4E8A3B; 48BD6C1A993666881ACA74E0A76B90AF962B6A4A95FB296631DB722F8CB01902; 4C8BFCEB008D24EB01074C38330AB46796426B91938CA804D4B8B11211648716; 62376A5F57D3A43C2DA9747586E650999C32D753B9E165FA755B3DEA1AF9FE8E; 63D21C555730625A1B333273C916623B1EE84126763A41FC3BB9893E9D5AB425; 6B823DCDFC5159853FC8CA069FD0FACFF6E8DDB7ACE93D1E7BB6FAD9D07C548B; 95CDD57710F88D2545ADC2FDA3050668914129A5A6C2FB7AB399485DF37234F2; 9D1320D5B2DA2CAC0A7AAD9AD1CE33786F6272332C4802F392876669F68025C8; A3D1143FBB47F7F66054E5B83120D1B2CB416BF148A78D54CCB20DC375D768B2; A5293EFA7EAC336454537411469405609F8F268910B8E67E3C7D309A0AB5A12F; AAEA8A2C1D014415B6A477FED8E06A761AFFB75FB9AE26814AEA49961273B0BE; ADD281AC7AF7F81605EBE1AE9EF52E37483E926F392545680359AA2C4920A8CB; BDBB58D5FF200C305506C127789A5416077E9A4847AA5A1E8BEC01D00F68C17B; BEAF74FEAD97D3DE2B105B5B3973C2C3967C84CB34D328BA3183DFA8F944E25F; C41B57D14CE7DF2E4E401C87AEA0F56944925D8E7385C9ACB0CF752E70AB02A7; C6D0A8E3348101A9C424AE8A0524FB65E267BF7B03BF490E7E54A96545FBA746; C9AF86678E790FBFF64B74B34AE6300A8FB02532E2C83A8A934311346714744F; DB755B49E31CF9F15B050661086173BF632CC20E614B8B44A518514B798FF26C; DCB0CD13B9A2193518FA34AA302F3290D114C07626FF72211187F6C8A24FB7D0; E31840A2DB76732FC778FD41DFFAD31B87295AE7906B15F6C5FD218D4E0C29DD; E6D5877819688BC301CE25DF6236864990A5FB6F05C4055C11428E267406A1BC","thread_id=927ba474-a10f-4076-840b-de6cc5f576ab"
"convert-chat-thread","00 ZETTELKASTEN\INBOX\aichatbackup-2026-05-23 (1).json","00 ZETTELKASTEN\10 CHAT ARCHIVE\chat.archive.docs.section.creation.a326206e.md","","reference","generated","048579E63CC2812400E109CEE18A35EDEBEF0789773E8FC528BB7919AF54ABE7; 0A5FF8FEC6282991C7E56791764AD04181CDB688A4E86507757423706B6300D3; 0AFCBEAC0C6571F9FE6D70FA88334F13E2FB8A19DD72DDDF4DE600AA2296B495; 23EBC0A6FA5838618512C0C6560CC17C0E2D5EA50BEF16CB32B702D7E8EB60E1; 34502ED3E5D360FBFBD1262DBA8C430B3D6C01FA22DB9B5D34FBA9A945FDA15D; 34B2B6779038E7AB432AB1C879E0E9C8366E03828FC8293C9211AAEDF3D2C140; 3CFF2CBD3DEDB404F1A89A04DB19A31CAB99867D0D2160C5A116545C8D4E8A3B; 48BD6C1A993666881ACA74E0A76B90AF962B6A4A95FB296631DB722F8CB01902; 4C8BFCEB008D24EB01074C38330AB46796426B91938CA804D4B8B11211648716; 62376A5F57D3A43C2DA9747586E650999C32D753B9E165FA755B3DEA1AF9FE8E; 63D21C555730625A1B333273C916623B1EE84126763A41FC3BB9893E9D5AB425; 6B823DCDFC5159853FC8CA069FD0FACFF6E8DDB7ACE93D1E7BB6FAD9D07C548B; 95CDD57710F88D2545ADC2FDA3050668914129A5A6C2FB7AB399485DF37234F2; 9D1320D5B2DA2CAC0A7AAD9AD1CE33786F6272332C4802F392876669F68025C8; A3D1143FBB47F7F66054E5B83120D1B2CB416BF148A78D54CCB20DC375D768B2; A5293EFA7EAC336454537411469405609F8F268910B8E67E3C7D309A0AB5A12F; AAEA8A2C1D014415B6A477FED8E06A761AFFB75FB9AE26814AEA49961273B0BE; ADD281AC7AF7F81605EBE1AE9EF52E37483E926F392545680359AA2C4920A8CB; BDBB58D5FF200C305506C127789A5416077E9A4847AA5A1E8BEC01D00F68C17B; BEAF74FEAD97D3DE2B105B5B3973C2C3967C84CB34D328BA3183DFA8F944E25F; C41B57D14CE7DF2E4E401C87AEA0F56944925D8E7385C9ACB0CF752E70AB02A7; C6D0A8E3348101A9C424AE8A0524FB65E267BF7B03BF490E7E54A96545FBA746; C9AF86678E790FBFF64B74B34AE6300A8FB02532E2C83A8A934311346714744F; DB755B49E31CF9F15B050661086173BF632CC20E614B8B44A518514B798FF26C; DCB0CD13B9A2193518FA34AA302F3290D114C07626FF72211187F6C8A24FB7D0; E31840A2DB76732FC778FD41DFFAD31B87295AE7906B15F6C5FD218D4E0C29DD; E6D5877819688BC301CE25DF6236864990A5FB6F05C4055C11428E267406A1BC","thread_id=a326206e-5b15-4221-93da-8f30568a89d3"
"convert-chat-thread","00 ZETTELKASTEN\INBOX\aichatbackup-2026-05-23 (1).json","00 ZETTELKASTEN\10 CHAT ARCHIVE\chat.archive.new.mexico.legal.help.acd25ade.md","","reference","generated","048579E63CC2812400E109CEE18A35EDEBEF0789773E8FC528BB7919AF54ABE7; 0A5FF8FEC6282991C7E56791764AD04181CDB688A4E86507757423706B6300D3; 0AFCBEAC0C6571F9FE6D70FA88334F13E2FB8A19DD72DDDF4DE600AA2296B495; 23EBC0A6FA5838618512C0C6560CC17C0E2D5EA50BEF16CB32B702D7E8EB60E1; 34502ED3E5D360FBFBD1262DBA8C430B3D6C01FA22DB9B5D34FBA9A945FDA15D; 34B2B6779038E7AB432AB1C879E0E9C8366E03828FC8293C9211AAEDF3D2C140; 3CFF2CBD3DEDB404F1A89A04DB19A31CAB99867D0D2160C5A116545C8D4E8A3B; 48BD6C1A993666881ACA74E0A76B90AF962B6A4A95FB296631DB722F8CB01902; 4C8BFCEB008D24EB01074C38330AB46796426B91938CA804D4B8B11211648716; 62376A5F57D3A43C2DA9747586E650999C32D753B9E165FA755B3DEA1AF9FE8E; 63D21C555730625A1B333273C916623B1EE84126763A41FC3BB9893E9D5AB425; 6B823DCDFC5159853FC8CA069FD0FACFF6E8DDB7ACE93D1E7BB6FAD9D07C548B; 95CDD57710F88D2545ADC2FDA3050668914129A5A6C2FB7AB399485DF37234F2; 9D1320D5B2DA2CAC0A7AAD9AD1CE33786F6272332C4802F392876669F68025C8; A3D1143FBB47F7F66054E5B83120D1B2CB416BF148A78D54CCB20DC375D768B2; A5293EFA7EAC336454537411469405609F8F268910B8E67E3C7D309A0AB5A12F; AAEA8A2C1D014415B6A477FED8E06A761AFFB75FB9AE26814AEA49961273B0BE; ADD281AC7AF7F81605EBE1AE9EF52E37483E926F392545680359AA2C4920A8CB; BDBB58D5FF200C305506C127789A5416077E9A4847AA5A1E8BEC01D00F68C17B; BEAF74FEAD97D3DE2B105B5B3973C2C3967C84CB34D328BA3183DFA8F944E25F; C41B57D14CE7DF2E4E401C87AEA0F56944925D8E7385C9ACB0CF752E70AB02A7; C6D0A8E3348101A9C424AE8A0524FB65E267BF7B03BF490E7E54A96545FBA746; C9AF86678E790FBFF64B74B34AE6300A8FB02532E2C83A8A934311346714744F; DB755B49E31CF9F15B050661086173BF632CC20E614B8B44A518514B798FF26C; DCB0CD13B9A2193518FA34AA302F3290D114C07626FF72211187F6C8A24FB7D0; E31840A2DB76732FC778FD41DFFAD31B87295AE7906B15F6C5FD218D4E0C29DD; E6D5877819688BC301CE25DF6236864990A5FB6F05C4055C11428E267406A1BC","thread_id=acd25ade-0acc-45c6-b43e-3d0903a5fafc"
